Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,Yes,Travel_Rarely,918,Human Resources,11,3,Life Sciences,1,14,2,Female,74,4,2,Manager,3,Single,16432,5873,0,Y,No,25,4,2,80,1,14,4,3,8,2,1,6
20,No,Non-Travel,1475,Research & Development,7,3,Technical Degree,1,15,4,Male,72,3,1,Research Scientist,3,Divorced,17767,11934,6,Y,Yes,19,4,1,80,3,0,2,1,0,0,0,0
36,No,Non-Travel,1344,Research & Development,21,3,Technical Degree,1,16,3,Female,86,2,5,Research Director,4,Married,6711,26209,6,Y,No,13,3,3,80,2,17,4,1,17,4,6,13
58,No,Non-Travel,1280,Human Resources,7,4,Technical Degree,1,17,4,Female,61,2,2,Human Resources,1,Single,8370,16025,4,Y,Yes,14,3,1,80,3,39,0,2,19,10,2,7
33,No,Travel_Rarely,1407,Human Resources,9,5,Technical Degree,1,18,2,Male,65,4,5,Human Resources,4,Divorced,19323,11456,8,Y,No,14,4,4,80,2,13,2,4,3,3,1,3
23,Yes,Travel_Frequently,899,Human Resources,29,5,Other,1,19,4,Male,78,4,1,Human Resources,3,Married,8019,11878,2,Y,No,23,4,1,80,3,2,4,4,1,0,0,1
52,No,Travel_Rarely,1376,Human Resources,18,1,Technical Degree,1,20,4,Male,40,4,4,Human Resources,4,Married,9952,8048,3,Y,Yes,11,4,2,80,3,31,2,3,25,19,7,15
47,No,Non-Travel,184,Sales,25,1,Medical,1,21,2,Male,32,2,1,Sales Executive,1,Single,9275,17611,6,Y,Yes,21,3,1,80,1,26,3,3,10,5,6,4
34,Yes,Non-Travel,1386,Human Resources,8,1,Other,1,22,4,Female,45,1,3,Manager,3,Divorced,6375,16131,1,Y,Yes,21,4,2,80,0,16,4,4,11,2,9,9
39,No,Non-Travel,1315,Human Resources,9,3,Medical,1,23,3,Male,65,4,4,Human Resources,4,Married,12877,20766,6,Y,Yes,20,4,4,80,2,16,0,2,0,0,0,0
38,No,Travel_Frequently,1239,Research & Development,25,2,Other,1,24,1,Female,92,4,3,Research Scientist,1,Single,12161,11735,4,Y,No,14,4,2,80,1,16,2,2,5,3,1,2
55,No,Non-Travel,496,Human Resources,11,1,Other,1,25,3,Male,54,2,5,Manager,4,Married,14951,25837,5,Y,No,20,4,3,80,0,35,6,3,11,7,8,8
36,Yes,Travel_Rarely,1277,Sales,10,4,Technical Degree,1,26,2,Female,73,2,2,Sales Executive,1,Married,18511,17748,0,Y,Yes,12,3,4,80,3,16,3,3,7,5,2,4
54,No,Travel_Frequently,1307,Sales,14,3,Human Resources,1,27,4,Male,42,2,1,Manager,4,Single,10965,10765,9,Y,Yes,21,3,4,80,1,35,1,2,20,1,4,4
53,No,Travel_Frequently,1382,Sales,19,2,Technical Degree,1,28,4,Male,99,2,3,Manager,3,Single,16407,10798,7,Y,Yes,24,3,1,80,0,35,0,3,2,0,0,1
37,No,Travel_Frequently,762,Sales,20,3,Life Sciences,1,29,4,Male,59,1,3,Manager,3,Married,16367,20976,1,Y,No,11,3,1,80,3,19,4,4,19,18,9,14
46,No,Travel_Frequently,692,Human Resources,22,4,Human Resources,1,30,2,Male,88,1,3,Manager,3,Married,16410,12687,1,Y,No,12,4,3,80,0,25,5,1,8,2,6,7
47,No,Travel_Frequently,350,Human Resources,1,5,Medical,1,31,3,Male,69,1,4,Manager,3,Single,17343,9456,5,Y,Yes,24,3,4,80,3,29,0,2,13,0,3,8
27,Yes,Travel_Frequently,798,Human Resources,26,5,Marketing,1,32,2,Male,66,3,2,Manager,4,Single,16482,16726,7,Y,Yes,19,4,1,80,2,7,2,2,7,4,4,6
52,No,Non-Travel,1437,Human Resources,5,4,Life Sciences,1,33,4,Male,94,3,4,Human Resources,1,Married,19745,5361,3,Y,No,19,4,4,80,0,33,5,3,12,7,5,3
44,No,Travel_Frequently,1210,Sales,2,5,Life Sciences,1,34,4,Male,66,2,5,Manager,1,Single,12102,16314,4,Y,No,12,3,3,80,3,21,1,3,20,4,2,15
37,Yes,Non-Travel,885,Human Resources,20,2,Technical Degree,1,35,2,Male,59,4,3,Manager,2,Married,12755,10460,4,Y,Yes,21,3,2,80,3,16,2,4,0,0,0,0
52,No,Travel_Rarely,587,Human Resources,13,5,Marketing,1,36,2,Female,67,1,4,Manager,4,Married,10811,2359,9,Y,No,20,3,4,80,3,29,6,3,5,0,3,2
32,No,Non-Travel,371,Research & Development,3,3,Marketing,1,37,4,Female,52,2,2,Laboratory Technician,1,Divorced,9221,14082,9,Y,Yes,19,4,1,80,1,9,2,3,9,5,3,3
36,No,Travel_Frequently,856,Research & Development,22,3,Human Resources,1,38,1,Female,77,1,4,Laboratory Technician,1,Married,8401,2914,2,Y,No,20,4,3,80,1,14,5,4,10,1,7,1
58,Yes,Non-Travel,379,Sales,13,4,Marketing,1,39,1,Female,49,4,2,Manager,3,Single,4832,18128,6,Y,Yes,20,4,1,80,2,40,0,4,26,14,22,9
41,No,Travel_Frequently,289,Human Resources,22,2,Other,1,40,3,Male,36,3,3,Human Resources,1,Single,4264,20594,5,Y,No,14,3,2,80,1,19,4,4,6,3,3,1
32,Yes,Travel_Rarely,1307,Sales,11,1,Medical,1,41,1,Female,36,2,2,Manager,2,Married,5750,19332,4,Y,No,12,3,2,80,3,10,3,1,5,1,4,0
50,No,Travel_Rarely,1106,Research & Development,23,4,Life Sciences,1,42,4,Male,71,2,5,Research Scientist,1,Single,2429,11105,3,Y,No,20,4,4,80,3,30,4,1,18,3,14,16
36,No,Travel_Frequently,918,Human Resources,14,1,Marketing,1,43,2,Female,70,3,5,Manager,4,Single,4758,24599,1,Y,Yes,25,4,4,80,0,14,0,4,14,8,9,6
23,No,Non-Travel,207,Sales,10,5,Marketing,1,44,3,Female,43,2,5,Sales Executive,1,Divorced,2974,17894,8,Y,No,14,3,4,80,2,3,6,4,3,0,2,1
41,No,Travel_Frequently,114,Human Resources,6,2,Human Resources,1,45,3,Female,38,2,1,Human Resources,1,Single,19252,26542,8,Y,No,19,3,3,80,3,19,3,2,3,2,1,3
39,Yes,Non-Travel,970,Research & Development,16,5,Technical Degree,1,46,1,Female,64,2,5,Research Director,2,Single,19607,13404,5,Y,Yes,17,3,1,80,2,21,5,2,5,2,2,5
55,Yes,Travel_Rarely,1120,Human Resources,24,4,Medical,1,47,3,Male,78,2,1,Manager,2,Single,2804,15105,6,Y,No,24,3,3,80,3,36,0,2,15,9,1,7
22,No,Travel_Frequently,282,Research & Development,14,1,Medical,1,48,2,Female,81,1,3,Manufacturing Director,1,Married,14695,26532,6,Y,No,16,3,4,80,2,4,6,3,2,2,1,2
22,Yes,Non-Travel,415,Sales,25,1,Medical,1,49,2,Female,89,4,3,Manager,2,Divorced,12457,23163,3,Y,Yes,21,4,3,80,2,4,1,1,4,0,4,4
22,Yes,Travel_Frequently,259,Research & Development,21,1,Human Resources,1,50,4,Female,89,1,3,Manufacturing Director,3,Divorced,2849,23453,9,Y,Yes,14,4,1,80,3,3,4,4,3,3,2,2
21,No,Travel_Frequently,939,Sales,25,3,Other,1,51,3,Male,72,1,1,Sales Representative,4,Single,6663,20377,8,Y,No,21,4,3,80,2,3,2,2,3,0,2,0
60,No,Travel_Rarely,736,Human Resources,18,4,Other,1,52,4,Female,46,1,1,Manager,3,Divorced,11932,13950,2,Y,Yes,11,4,2,80,2,38,1,3,30,29,19,27
39,Yes,Non-Travel,1381,Sales,26,2,Other,1,53,4,Female,35,4,3,Sales Representative,3,Divorced,3537,25673,2,Y,Yes,14,4,2,80,2,21,6,2,15,6,7,4
46,No,Non-Travel,385,Human Resources,28,3,Life Sciences,1,54,4,Female,77,1,5,Human Resources,3,Married,13062,4842,3,Y,No,23,3,2,80,2,25,3,4,7,3,4,7
27,No,Travel_Frequently,561,Human Resources,1,3,Life Sciences,1,55,2,Female,48,2,1,Human Resources,4,Married,12464,17575,7,Y,Yes,22,3,4,80,3,6,3,3,6,0,1,6
18,Yes,Travel_Rarely,961,Human Resources,21,5,Technical Degree,1,56,2,Male,44,4,5,Human Resources,1,Divorced,18992,18981,2,Y,No,20,3,3,80,1,0,2,3,0,0,0,0
18,No,Travel_Frequently,135,Research & Development,12,1,Marketing,1,57,1,Male,43,3,3,Laboratory Technician,4,Single,18162,13638,1,Y,Yes,19,4,4,80,1,0,6,4,0,0,0,0
47,No,Travel_Frequently,1157,Human Resources,13,5,Technical Degree,1,58,2,Female,34,2,4,Manager,2,Married,3076,3660,2,Y,No,24,4,1,80,2,29,0,1,22,15,20,5
45,Yes,Non-Travel,471,Research & Development,18,3,Marketing,1,59,1,Male,40,3,4,Healthcare Representative,3,Married,7130,16705,5,Y,No,20,4,4,80,1,22,5,3,12,11,7,6
40,No,Travel_Rarely,1346,Research & Development,22,4,Life Sciences,1,60,3,Male,38,2,3,Healthcare Representative,1,Married,15261,14639,5,Y,Yes,20,3,2,80,1,17,5,4,14,0,11,13
41,No,Travel_Frequently,1162,Research & Development,13,5,Life Sciences,1,61,1,Female,63,4,3,Laboratory Technician,3,Divorced,18358,11451,2,Y,No,22,4,1,80,1,20,0,2,11,7,1,9
22,No,Travel_Rarely,513,Sales,26,2,Medical,1,62,2,Female,33,3,1,Manager,3,Divorced,12393,14182,5,Y,No,18,3,3,80,0,3,0,2,3,1,3,0
43,Yes,Non-Travel,1412,Research & Development,19,2,Medical,1,63,4,Female,94,1,1,Research Scientist,1,Divorced,19847,7108,6,Y,No,15,3,3,80,1,24,2,4,22,15,16,13
32,Yes,Non-Travel,1341,Human Resources,11,5,Life Sciences,1,64,2,Male,40,1,5,Manager,3,Divorced,7441,9001,4,Y,Yes,23,4,2,80,0,12,3,1,5,4,2,0
52,No,Travel_Frequently,1344,Human Resources,5,3,Other,1,65,4,Female,74,4,4,Human Resources,2,Married,10755,18968,6,Y,Yes,19,3,4,80,2,34,1,4,9,4,7,3
25,Yes,Travel_Rarely,1122,Research & Development,17,4,Technical Degree,1,66,3,Female,93,1,3,Research Scientist,2,Married,2667,18656,1,Y,No,18,3,3,80,1,4,4,2,4,3,1,1
21,Yes,Travel_Frequently,206,Research & Development,19,5,Medical,1,67,3,Female,100,3,1,Research Scientist,2,Married,18595,18617,4,Y,No,18,4,4,80,0,3,1,3,0,0,0,0
43,No,Travel_Frequently,1165,Sales,15,2,Human Resources,1,68,1,Male,71,3,5,Sales Executive,1,Married,7531,22295,2,Y,No,22,4,2,80,2,21,4,1,11,5,8,5
52,No,Non-Travel,1085,Human Resources,6,5,Other,1,69,3,Female,48,2,1,Human Resources,1,Divorced,11863,25048,5,Y,No,12,3,2,80,0,31,3,4,15,9,15,0
44,Yes,Travel_Rarely,1043,Research & Development,18,3,Human Resources,1,70,4,Female,63,4,1,Laboratory Technician,2,Single,16462,11236,8,Y,Yes,19,4,4,80,1,21,2,3,4,3,1,3
31,No,Travel_Rarely,696,Research & Development,2,3,Other,1,71,4,Male,74,4,5,Healthcare Representative,3,Divorced,12438,17792,7,Y,No,14,3,4,80,2,11,4,1,11,11,7,5
35,Yes,Travel_Frequently,307,Human Resources,22,2,Life Sciences,1,72,1,Male,82,4,1,Manager,2,Divorced,8953,8629,3,Y,Yes,23,4,4,80,2,12,2,1,4,0,4,4
21,Yes,Non-Travel,321,Human Resources,11,3,Technical Degree,1,73,1,Female,47,4,1,Manager,2,Single,6769,5785,6,Y,No,16,3,1,80,3,0,5,3,0,0,0,0
29,No,Travel_Frequently,764,Research & Development,8,1,Marketing,1,74,1,Female,60,4,4,Healthcare Representative,1,Married,14296,11988,2,Y,No,20,3,2,80,2,7,5,4,0,0,0,0
33,Yes,Travel_Rarely,1081,Research & Development,5,4,Other,1,75,3,Female,83,4,5,Research Director,1,Divorced,14293,9250,2,Y,No,23,3,2,80,0,10,4,3,1,0,1,1
51,Yes,Travel_Rarely,1296,Research & Development,16,1,Human Resources,1,76,3,Female,37,4,5,Laboratory Technician,2,Divorced,3032,15706,1,Y,Yes,18,3,4,80,3,29,5,2,22,11,2,18
19,Yes,Travel_Frequently,470,Research & Development,25,2,Other,1,77,1,Female,77,4,1,Manufacturing Director,1,Married,3402,14403,9,Y,No,12,3,4,80,2,1,0,1,1,1,0,0
52,No,Travel_Rarely,666,Sales,7,1,Life Sciences,1,78,2,Female,32,2,1,Sales Executive,4,Single,1122,5400,3,Y,No,20,3,2,80,3,32,4,4,12,8,2,11
21,Yes,Travel_Rarely,1454,Human Resources,17,2,Technical Degree,1,79,3,Female,65,1,2,Human Resources,3,Divorced,18695,24335,3,Y,Yes,17,4,3,80,0,3,2,2,1,0,1,1
60,No,Non-Travel,397,Human Resources,26,4,Life Sciences,1,80,2,Female,83,2,2,Manager,2,Single,14386,10449,6,Y,No,14,4,2,80,0,40,3,4,12,12,8,5
23,No,Travel_Rarely,535,Research & Development,7,1,Other,1,81,3,Female,61,2,1,Manufacturing Director,4,Single,2304,20184,6,Y,Yes,16,4,3,80,3,4,3,2,4,1,0,2
59,No,Non-Travel,555,Human Resources,24,2,Life Sciences,1,82,3,Female,100,4,4,Manager,3,Single,17303,8522,8,Y,No,16,3,3,80,3,41,4,2,11,4,4,5
49,No,Non-Travel,1416,Sales,2,5,Life Sciences,1,83,4,Male,36,1,2,Sales Representative,2,Single,16109,22760,7,Y,No,14,3,2,80,1,26,0,2,17,10,8,15
50,No,Travel_Frequently,137,Sales,17,4,Medical,1,84,1,Male,42,2,4,Sales Executive,4,Single,16842,22402,9,Y,Yes,19,4,3,80,2,32,2,1,14,5,0,9
23,Yes,Travel_Frequently,216,Research & Development,21,1,Other,1,85,4,Male,40,4,3,Manufacturing Director,1,Divorced,8409,12949,3,Y,Yes,20,3,4,80,0,2,1,1,2,1,1,2
54,No,Non-Travel,917,Sales,3,3,Medical,1,86,1,Male,79,3,5,Sales Representative,2,Divorced,18803,6679,4,Y,Yes,23,3,2,80,2,31,0,3,15,8,1,2
45,Yes,Non-Travel,1455,Sales,13,1,Human Resources,1,87,4,Female,61,1,3,Sales Executive,2,Married,1979,7147,5,Y,No,17,3,4,80,3,24,2,3,7,1,5,6
24,Yes,Travel_Rarely,826,Research & Development,18,1,Human Resources,1,88,4,Female,79,1,1,Healthcare Representative,2,Married,9848,14801,5,Y,Yes,23,3,4,80,1,5,4,4,0,0,0,0
28,Yes,Travel_Frequently,259,Human Resources,12,3,Medical,1,89,4,Female,55,4,3,Human Resources,1,Single,10876,12077,4,Y,Yes,11,4,3,80,2,10,6,2,10,6,2,2
42,No,Travel_Frequently,1398,Human Resources,16,5,Medical,1,90,2,Female,78,3,3,Manager,4,Married,5469,5825,9,Y,Yes,25,3,4,80,1,22,5,3,10,7,5,6
19,No,Travel_Rarely,1021,Human Resources,20,4,Human Resources,1,91,2,Female,98,4,4,Human Resources,2,Married,14415,25085,1,Y,No,25,3,4,80,0,1,6,3,1,0,1,1
60,Yes,Travel_Rarely,1147,Sales,24,5,Human Resources,1,92,1,Male,87,3,5,Sales Representative,3,Married,2460,24361,9,Y,No,20,3,1,80,2,37,0,4,21,11,5,20
24,Yes,Non-Travel,1028,Research & Development,11,1,Marketing,1,93,3,Male,44,1,3,Healthcare Representative,2,Divorced,12423,5677,2,Y,No,21,3,4,80,1,4,4,4,2,1,0,0
53,No,Travel_Rarely,1022,Sales,19,4,Technical Degree,1,94,4,Male,57,2,4,Sales Representative,2,Divorced,8606,4144,7,Y,Yes,20,3,1,80,1,30,2,4,5,2,4,3
30,No,Non-Travel,711,Research & Development,20,5,Life Sciences,1,95,3,Male,70,1,5,Laboratory Technician,1,Married,11278,5926,8,Y,No,13,4,4,80,1,9,4,3,7,1,4,7
44,Yes,Travel_Frequently,1370,Research & Development,2,3,Life Sciences,1,96,3,Female,47,2,4,Manufacturing Director,2,Divorced,7095,18656,6,Y,Yes,21,4,2,80,3,21,5,4,19,4,18,12
44,Yes,Travel_Frequently,1260,Research & Development,24,4,Human Resources,1,97,2,Male,44,3,1,Research Director,1,Married,19535,19855,1,Y,No,24,3,3,80,3,25,4,3,22,14,15,5
45,No,Non-Travel,1397,Sales,14,2,Human Resources,1,98,2,Male,56,2,3,Sales Executive,1,Divorced,9620,13589,7,Y,No,19,4,3,80,1,27,2,2,3,1,2,0
36,No,Travel_Rarely,1486,Human Resources,13,4,Medical,1,99,2,Female,83,4,4,Manager,2,Single,5451,22856,1,Y,No,23,3,2,80,3,18,4,2,9,9,4,8
35,No,Travel_Rarely,1115,Human Resources,9,3,Marketing,1,100,4,Female,100,2,1,Manager,3,Married,1090,24459,9,Y,No,23,3,2,80,0,12,0,1,11,7,7,5
47,No,Travel_Frequently,270,Human Resources,12,2,Life Sciences,1,101,3,Female,69,2,4,Manager,3,Divorced,1031,5082,7,Y,Yes,22,3,1,80,0,28,1,2,0,0,0,0
22,Yes,Travel_Rarely,313,Research & Development,11,3,Marketing,1,102,2,Male,78,2,1,Laboratory Technician,4,Single,12267,19477,0,Y,Yes,20,3,4,80,1,1,3,1,1,0,1,0
31,Yes,Travel_Rarely,609,Research & Development,9,1,Medical,1,103,3,Female,33,3,1,Laboratory Technician,1,Divorced,8127,21981,7,Y,Yes,19,3,4,80,3,13,2,4,10,2,6,9
21,No,Non-Travel,963,Human Resources,12,5,Other,1,104,2,Male,90,1,5,Human Resources,3,Divorced,17379,4306,3,Y,Yes,11,4,4,80,1,3,0,3,1,1,1,0
43,No,Travel_Rarely,420,Sales,18,3,Technical Degree,1,105,3,Male,69,4,1,Manager,3,Single,14190,3991,6,Y,Yes,14,3,1,80,3,20,0,1,16,9,16,13
57,Yes,Travel_Rarely,652,Research & Development,24,1,Life Sciences,1,106,3,Female,84,3,2,Research Director,2,Single,1424,10710,1,Y,Yes,22,3,3,80,3,34,3,4,19,1,9,5
41,Yes,Travel_Frequently,847,Human Resources,13,2,Medical,1,107,1,Male,100,4,1,Human Resources,2,Married,9368,10229,2,Y,Yes,17,4,1,80,2,19,6,1,1,1,0,1
54,No,Travel_Frequently,772,Sales,3,5,Technical Degree,1,108,4,Male,77,2,2,Sales Representative,4,Divorced,6885,12052,0,Y,Yes,22,3,3,80,3,32,2,1,11,1,8,10
49,No,Travel_Rarely,1448,Human Resources,13,3,Life Sciences,1,109,3,Male,97,2,2,Manager,1,Married,9041,4056,8,Y,No,13,4,1,80,0,31,0,2,24,24,6,23
51,Yes,Travel_Frequently,747,Sales,26,4,Other,1,110,4,Female,70,4,5,Sales Representative,1,Single,4140,4541,1,Y,No,14,3,2,80,0,32,1,1,13,11,5,7
28,Yes,Non-Travel,725,Sales,27,5,Life Sciences,1,111,3,Male,71,2,3,Sales Executive,3,Divorced,18570,10227,1,Y,No,16,4,1,80,0,9,5,4,7,7,5,6
34,Yes,Travel_Rarely,369,Research & Development,7,4,Marketing,1,112,1,Male,63,1,2,Research Scientist,1,Single,19035,8573,8,Y,No,25,4,1,80,1,16,0,2,5,0,3,3
25,Yes,Travel_Rarely,665,Research & Development,9,4,Medical,1,113,2,Male,61,3,4,Manufacturing Director,4,Married,15202,20138,9,Y,Yes,18,3,3,80,0,4,2,4,0,0,0,0
26,No,Non-Travel,760,Research & Development,13,3,Medical,1,114,4,Male,70,2,5,Research Scientist,3,Married,9173,4013,8,Y,No,23,4,3,80,2,8,6,4,6,1,5,6
32,Yes,Non-Travel,753,Human Resources,26,3,Human Resources,1,115,3,Male,75,2,5,Human Resources,2,Married,9742,19858,3,Y,Yes,15,3,2,80,3,9,0,4,2,0,0,2
21,Yes,Non-Travel,392,Sales,25,1,Human Resources,1,116,3,Female,39,3,5,Manager,3,Divorced,11879,15056,0,Y,Yes,20,3,1,80,2,2,2,2,1,0,0,1
26,No,Travel_Frequently,362,Research & Development,6,1,Other,1,117,4,Female,34,2,2,Research Director,2,Married,11405,22127,7,Y,No,14,3,3,80,3,3,1,2,2,2,1,2
22,Yes,Travel_Rarely,104,Research & Development,2,4,Technical Degree,1,118,1,Female,51,4,4,Manufacturing Director,2,Married,12010,13603,1,Y,No,19,4,3,80,0,4,6,2,1,1,1,0
54,Yes,Travel_Frequently,431,Research & Development,24,1,Human Resources,1,119,1,Male,73,4,3,Research Scientist,3,Married,2103,23512,1,Y,No,13,4,3,80,1,36,0,1,20,7,5,14
39,No,Non-Travel,1107,Sales,5,1,Marketing,1,120,1,Male,84,1,3,Sales Representative,3,Divorced,18707,22576,8,Y,No,20,4,1,80,1,16,0,2,6,1,3,5
31,No,Travel_Frequently,858,Sales,6,4,Life Sciences,1,121,1,Female,86,4,3,Sales Representative,4,Single,4793,10894,7,Y,No,20,3,4,80,1,10,6,3,2,2,1,0
60,No,Travel_Frequently,173,Human Resources,17,5,Human Resources,1,122,2,Male,45,4,5,Human Resources,4,Single,8464,9037,9,Y,No,23,3,4,80,1,42,0,4,3,0,2,3
23,No,Non-Travel,1040,Research & Development,28,1,Other,1,123,4,Female,44,4,3,Laboratory Technician,1,Single,9459,20660,2,Y,Yes,20,3,3,80,0,5,4,4,5,3,1,5
36,Yes,Non-Travel,1496,Sales,23,4,Life Sciences,1,124,3,Female,72,2,5,Sales Executive,1,Divorced,16920,17665,6,Y,No,25,4,4,80,2,17,0,2,17,11,13,8
37,No,Travel_Rarely,935,Research & Development,24,4,Human Resources,1,125,4,Female,37,2,3,Research Scientist,3,Married,5412,25345,3,Y,No,19,4,1,80,1,14,6,3,9,4,7,1
54,No,Non-Travel,914,Human Resources,21,1,Other,1,126,3,Male,60,3,1,Manager,3,Divorced,9184,16711,0,Y,Yes,13,4,3,80,2,33,2,2,0,0,0,0
34,No,Non-Travel,120,Sales,16,2,Other,1,127,3,Male,31,2,5,Sales Representative,2,Divorced,6347,12103,0,Y,Yes,22,4,4,80,3,15,3,2,2,1,0,1
47,No,Travel_Frequently,668,Research & Development,21,3,Marketing,1,128,3,Female,68,2,5,Laboratory Technician,3,Divorced,14022,9968,8,Y,Yes,25,3,1,80,3,29,5,3,8,3,7,4
26,No,Non-Travel,836,Research & Development,17,3,Medical,1,129,2,Male,67,1,4,Manufacturing Director,2,Single,14266,26372,6,Y,Yes,15,3,4,80,2,3,5,3,0,0,0,0
32,No,Non-Travel,1290,Sales,20,1,Technical Degree,1,130,4,Male,94,1,3,Manager,4,Married,11865,19455,6,Y,No,15,4,1,80,0,12,6,1,5,1,5,2
26,Yes,Travel_Frequently,530,Sales,25,2,Human Resources,1,131,3,Male,92,1,2,Sales Executive,3,Divorced,11376,16305,2,Y,No,21,4,1,80,3,8,3,2,3,2,3,3
42,Yes,Travel_Rarely,887,Research & Development,17,5,Marketing,1,132,2,Male,38,1,5,Healthcare Representative,1,Married,11567,17033,0,Y,Yes,22,4,3,80,3,23,5,2,0,0,0,0
39,Yes,Non-Travel,178,Sales,13,3,Human Resources,1,133,2,Male,36,1,2,Manager,2,Single,1635,3674,6,Y,Yes,22,3,1,80,3,20,3,1,15,11,6,5
25,No,Non-Travel,343,Research & Development,10,1,Life Sciences,1,134,4,Female,55,2,4,Healthcare Representative,3,Divorced,10875,8702,0,Y,Yes,16,4,1,80,2,4,1,2,4,3,1,1
53,No,Travel_Rarely,309,Sales,29,3,Other,1,135,2,Male,88,3,1,Sales Representative,1,Married,1098,3735,3,Y,Yes,12,3,1,80,0,30,6,4,15,6,15,10
41,No,Travel_Rarely,865,Research & Development,27,3,Medical,1,136,4,Male,81,4,1,Manufacturing Director,3,Married,2512,14733,1,Y,Yes,22,4,3,80,3,22,5,3,21,10,13,3
25,No,Non-Travel,369,Sales,16,4,Life Sciences,1,137,4,Female,86,1,4,Sales Executive,4,Married,4407,23556,2,Y,No,16,3,3,80,1,3,5,2,2,2,2,0
51,No,Travel_Rarely,1108,Research & Development,11,2,Marketing,1,138,4,Female,36,2,4,Research Director,1,Divorced,12338,14501,7,Y,Yes,17,3,4,80,0,32,3,2,16,3,13,7
54,No,Travel_Rarely,288,Research & Development,26,5,Human Resources,1,139,4,Female,95,2,1,Manufacturing Director,1,Married,11365,14000,7,Y,Yes,24,3,1,80,1,33,6,4,14,1,13,7
39,Yes,Travel_Rarely,1110,Research & Development,5,4,Life Sciences,1,140,3,Female,55,2,2,Research Scientist,3,Married,4201,9158,1,Y,No,18,3,1,80,2,21,0,3,17,15,11,14
20,No,Travel_Frequently,1143,Research & Development,25,2,Other,1,141,1,Male,46,1,5,Manufacturing Director,4,Divorced,15996,21772,7,Y,Yes,20,4,4,80,3,2,3,1,2,2,2,0
